m k res ratio channel r
2173.7373737373737 1.0140701714308262 -1 -1.0140701714308262 -1 0.5489864590462469
1622.2222222222222 0.7510472739799874 0 1.065523018819607 30 0.11626791619039158
2173.7373737373737 0.9969874913341363 -1 -0.9969874913341363 -1 0.8126524556270693
1466.6666666666667 0.5608364776460101 1 0.9572329855693389 30 0.0506081309605398
1240.4040404040404 0.81326028760402 0 1.3258996218129087 31 0.057398258080375554
2088.8888888888887 0.9818883295099585 -1 -0.9818883295099585 -1 0.8567696086125152
1551.5151515151515 0.9082830097948972 0 1.3997531397323897 30 0.15731512619522578
1650.5050505050506 0.4853276535598463 1 0.6938862317383778 30 0.001406663644446828
2088.8888888888887 0.393973098734685 -1 -0.393973098734685 -1 1.325007437119519
2202.0202020202023 0.22596655173622826 -1 -0.22596655173622826 -1 0.0
2117.1717171717173 1.0143861023874023 -1 -1.0143861023874023 -1 0.37626773160394844
1282.828282828283 0.554737426335092 1 0.8951977485817363 30 0.019171788577256623
1452.5252525252527 0.5376392452952923 1 0.9169693215560907 30 0.019677706659456992
2046.4646464646464 0.8127837103688788 -1 -0.8127837103688788 -1 0.17516897941251744
1890.909090909091 0.44174570249544465 -1 -0.44174570249544465 -1 0.0028848479711381055
1183.8383838383838 0.4119383311990253 1 0.7107155512116533 31 4.522652560294581e-05
2216.161616161616 1.0729303553226954 -1 -1.0729303553226954 -1 0.5706248867684707
1763.6363636363635 0.8420808608762672 -1 -0.8420808608762672 -1 0.8312663115678497
1947.4747474747473 0.6734421026543743 -1 -0.6734421026543743 -1 1.1280506384077063
1084.8484848484848 0.8268178400691131 0 1.5271217421721384 31 0.08036142165060331
1268.6868686868688 0.8845783098569455 0 1.4304375540021195 30 0.1298572070038889
1989.8989898989898 0.24001923603606307 -1 -0.24001923603606307 -1 0.004600527048504044
1098.989898989899 0.9062324954719013 0 1.6784575347624455 31 0.07206436318155633
1763.6363636363635 1.027285572374832 -1 -1.027285572374832 -1 0.4918735571407395
