mass br_wb br_zt br_ht s_l
663 0.4982580264726664 0.1997238770447679 0.3020180964825657 0.1
664 0.4982583026111733 0.19985609431763252 0.30188560307119416 0.1
665 0.49825866076143693 0.1999878013917653 0.30175353784679776 0.1
666 0.49825909972006577 0.20011900073755445 0.3016218995423798 0.1
667 0.4982596183001953 0.20024969481169969 0.30149068688810504 0.1
668 0.4982602153312437 0.20037988605729057 0.3013598986114658 0.1
669 0.49826088965867227 0.20050957690388352 0.3012295334374441 0.1
670 0.4982616401437496 0.20063876976757927 0.3010995900886711 0.1
671 0.4982624656633191 0.2007674670510993 0.3009700672855816 0.1
672 0.4982633651095707 0.20089567114386267 0.3008409637465666 0.1
673 0.4982643373898171 0.20102338442206186 0.3007122781881211 0.1
674 0.49826538142627164 0.20115060924873832 0.30058400932498996 0.1
675 0.49826649615583146 0.2012773479738587 0.3004561558703099 0.1
676 0.49826768052986325 0.20140360293438897 0.3003287165357478 0.1
677 0.4982689335139932 0.20152937645436966 0.30020169003163705 0.1
678 0.49827025408789993 0.20165467084498995 0.3000750750671101 0.1
679 0.49827164124511 0.2017794884046619 0.29994887035022805 0.1
680 0.49827309399279807 0.2019038314190942 0.29982307458810786 0.1
681 0.498274611351589 0.20202770216136487 0.29969768648704603 0.1
682 0.49827619235536463 0.20215110289199517 0.2995727047526402 0.1
683 0.4982778360510713 0.2022740358590214 0.29944812808990734 0.1
684 0.4982795414985332 0.2023965032980673 0.29932395520339944 0.1
685 0.49828130777026614 0.20251850743241656 0.29920018479731725 0.1
686 0.49828313395129614 0.20264005047308353 0.29907681557562044 0.1
687 0.49828501913898 0.20276113461888468 0.2989538462421355 0.1
688 0.498286962442828 0.20288176205650993 0.298831275500662 0.1
689 0.49828896298433206 0.2030019349605925 0.2987091020550754 0.1
690 0.49829101989679303 0.2031216554937793 0.29858732460942755 0.1
691 0.49829313232515327 0.2032409258068007 0.2984659418680461 0.1
692 0.4982952994258308 0.20335974803853976 0.2983449525356293 0.1
693 0.4982975203665563 0.20347812431610202 0.29822435531734165 0.1
694 0.4982997943262129 0.20359605675488293 0.29810414891890424 0.1
695 0.49830212049467737 0.20371354745863746 0.2979843320466851 0.1
696 0.4983044980726657 0.20383059851954746 0.2978649034077869 0.1
697 0.4983069262715792 0.20394721201828925 0.2977458617101317 0.1
698 0.4983094043133538 0.20406339002410134 0.29762720566254497 0.1
699 0.4983119314303117 0.20417913459485101 0.29750893397483724 0.1
700 0.4983145068650157 0.2042944477771013 0.29739104535788297 0.1
701 0.49831712987012494 0.20440933160617653 0.2972735385236986 0.1
702 0.49831979970825274 0.20452378810622895 0.29715641218551836 0.1
703 0.49832251565182817 0.20463781929030395 0.2970396650578678 0.1
704 0.498325276982958 0.20475142716040534 0.2969232958566367 0.1
705 0.49832808299329134 0.2048646137075599 0.29680730329914873 0.1
706 0.4983309329838875 0.20497738091188236 0.2966916861042302 0.1
707 0.4983338262650832 0.20508973074263898 0.2965764429922778 0.1
708 0.498336762156365 0.20520166515831206 0.296461572685323 0.1
709 0.4983397399862414 0.2053131861066625 0.2963470739070961 0.1
710 0.4983427590921175 0.20542429552479363 0.2962329453830888 0.1
711 0.4983458188201719 0.20553499533921393 0.29611918584061403 0.1
712 0.4983489185252357 0.2056452874658986 0.29600579400886573 0.1
713 0.49835205757067114 0.20575517381035294 0.2958927686189759 0.1
714 0.49835523532825615 0.205864656267673 0.2957801084040709 0.1
715 0.49835845117806654 0.2059737367226072 0.29566781209932624 0.1
716 0.4983617045083627 0.20608241704961788 0.2955558784420195 0.1
717 0.49836499471547613 0.2061906991129414 0.29544430617158246 0.1
718 0.4983683212036992 0.2062985847666489 0.2953330940296519 0.1
719 0.49837168338517585 0.20640607585470594 0.2952222407601181 0.1
720 0.4983750806797939 0.2065131742110326 0.2951117451091736 0.1
721 0.4983785125150786 0.20661988165956255 0.2950016058253588 0.1
722 0.4983819783260892 0.20672620001430217 0.2948918216596087 0.1
